round,policy,microseconds,status
96,deny,53.584,denied
96,value,69.5,compensated
96,field,309.583,compensated
96,mapped,80.792,compensated
96,undoscope,81.042,compensated
96,snapshot,101.834,compensated
97,value,65.542,compensated
97,snapshot,654.75,compensated
97,mapped,66.666,compensated
97,field,62.333,compensated
97,deny,37.709,denied
97,object,63.75,compensated
97,undoscope,72.375,compensated
98,snapshot,85.041,compensated
98,field,78.666,compensated
98,value,67.917,compensated
98,mapped,63.125,compensated
98,deny,44.917,denied
98,undoscope,69.959,compensated
98,object,62.167,compensated
99,snapshot,67.5,compensated
99,undoscope,63.25,compensated
99,field,65.708,compensated
99,object,75.25,compensated
99,mapped,67.083,compensated
99,deny,42.041,denied
99,value,92.292,compensated
100,undoscope,62.041,compensated
100,deny,56.125,denied
100,object,67.708,compensated
100,field,66.708,compensated
100,value,71.459,compensated
100,snapshot,81.334,compensated
100,mapped,72.959,compensated
101,field,72.083,compensated
101,mapped,73.583,compensated
101,undoscope,74.625,compensated
101,object,67.833,compensated
101,value,67.292,compensated
101,deny,41.125,denied
101,snapshot,79.25,compensated
102,field,75.291,compensated
102,deny,169.916,denied
102,value,80.875,compensated
102,mapped,70.75,compensated
102,snapshot,70.833,compensated
102,undoscope,67.583,compensated
102,object,67.875,compensated
103,field,72.667,compensated
103,snapshot,74.208,compensated
103,deny,47.25,denied
103,undoscope,68.875,compensated
103,object,63.209,compensated
103,value,67.042,compensated
103,mapped,71.459,compensated
104,field,63.208,compensated
104,object,62.5,compensated
104,snapshot,71.708,compensated
104,mapped,65.75,compensated
104,value,72.666,compensated
104,deny,44.583,denied
104,undoscope,61.333,compensated
105,field,66.417,compensated
105,snapshot,66.958,compensated
105,value,64.834,compensated
105,undoscope,70.417,compensated
105,object,62.292,compensated
105,deny,50.291,denied
105,mapped,62.541,compensated
106,mapped,74.417,compensated
106,field,79.917,compensated
106,deny,59.0,denied
106,snapshot,78.334,compensated
106,undoscope,61.625,compensated
106,object,57.083,compensated
106,value,62.5,compensated
107,mapped,64.291,compensated
107,object,67.0,compensated
107,snapshot,68.875,compensated
107,undoscope,68.75,compensated
107,field,61.917,compensated
107,deny,42.541,denied
107,value,139.833,compensated
108,field,69.042,compensated
